EMS_height	EMS_LAI	EMS_WAI	leaf_angle	wood_angle					
0.15	0	0	4	3					
0.45	0	0	4	3					
0.75	0.001	0.002	4	3					
1.05	0.01	0.01	4	3					
1.35	0.03	0.028	4	3					
1.65	0.034	0.03	4	3					
1.95	0.032	0.029	4	3					
2.25	0.031	0.027	4	3					
2.55	0.034	0.025	4	3					
2.85	0.036	0.025	4	3					
3.15	0.038	0.023	4	3					
3.45	0.042	0.022	4	3					
3.75	0.043	0.021	4	3					
4.05	0.043	0.02	4	3					
4.35	0.046	0.019	4	3					
4.65	0.043	0.018	4	3					
4.95	0.04	0.017	4	3					
5.25	0.038	0.017	4	3					
5.55	0.035	0.017	4	3					
5.85	0.035	0.015	4	3					
6.15	0.033	0.015	4	3					
6.45	0.034	0.014	4	3					
6.75	0.032	0.014	4	3					
7.05	0.031	0.014	4	3					
7.35	0.028	0.014	4	3					
7.65	0.029	0.014	4	3					
7.95	0.03	0.013	4	3					
8.25	0.031	0.013	4	3					
8.55	0.032	0.013	4	3					
8.85	0.034	0.013	4	3					
9.15	0.034	0.013	4	3					
9.45	0.033	0.013	4	3					
9.75	0.033	0.013	4	3					
10.05	0.035	0.013	4	3					
10.35	0.035	0.013	4	3					
10.65	0.035	0.013	4	3					
10.95	0.031	0.012	4	3					
11.25	0.031	0.012	4	3					
11.55	0.033	0.012	4	3					
11.85	0.037	0.012	4	3					
12.15	0.035	0.011	4	3					
12.45	0.038	0.012	4	3					
12.75	0.038	0.011	4	3					
13.05	0.035	0.011	4	3					
13.35	0.032	0.011	4	3					
13.65	0.034	0.011	4	3					
13.95	0.039	0.011	4	3					
14.25	0.04	0.011	4	3					
14.55	0.039	0.01	4	3					
14.85	0.041	0.011	4	3					
15.15	0.042	0.01	4	3					
15.45	0.04	0.01	4	3					
15.75	0.039	0.01	4	3					
16.05	0.043	0.01	4	3					
16.35	0.044	0.01	4	3					
16.65	0.047	0.009	4	3					
16.95	0.047	0.009	4	3					
17.25	0.044	0.009	4	3					
17.55	0.044	0.008	4	3					
17.85	0.044	0.008	4	3					
18.15	0.042	0.008	4	3					
18.45	0.043	0.008	4	3					
18.75	0.047	0.008	4	3					
19.05	0.048	0.008	4	3					
19.35	0.052	0.008	4	3					
19.65	0.064	0.007	4	3					
19.95	0.074	0.006	4	3					
20.25	0.084	0.006	4	3					
20.55	0.088	0.006	4	3					
20.85	0.09	0.006	4	3					
21.15	0.096	0.005	4	3					
21.45	0.106	0.005	4	3					
21.75	0.107	0.005	4	3					
22.05	0.118	0.004	4	3					
22.35	0.132	0.004	4	3					
22.65	0.14	0.003	4	3					
22.95	0.143	0.003	4	3					
23.25	0.147	0.003	4	3					
23.55	0.152	0.002	4	3					
23.85	0.153	0.002	4	3					
24.15	0.149	0.002	4	3					
24.45	0.134	0.001	4	3					
24.75	0.131	0.001	4	3					
25.05	0.117	0.001	4	3					
25.35	0.099	0.001	4	3					
25.65	0.076	0.001	4	3					
25.95	0.057	0	4	3					
26.25	0.042	0	4	3					
26.55	0.035	0	4	3					
26.85	0.027	0	4	3					
27.15	0.019	0	4	3					
27.45	0.012	0	4	3					
27.75	0.005	0	4	3					
28.05	0.002	0	4	3					
28.35	0.001	0	4	3					
