MorganMonroe_height	MorganMonroe_LAI	MorganMonroe_WAI	leaf_angle	wood_angle
0.15	0	0	4	3
0.45	0	0	4	3
0.75	0.001	0	4	3
1.05	0.005	0.004	4	3
1.35	0.025	0.011	4	3
1.65	0.033	0.016	4	3
1.95	0.046	0.023	4	3
2.25	0.042	0.024	4	3
2.55	0.038	0.023	4	3
2.85	0.035	0.022	4	3
3.15	0.036	0.021	4	3
3.45	0.038	0.019	4	3
3.75	0.041	0.019	4	3
4.05	0.043	0.018	4	3
4.35	0.045	0.018	4	3
4.65	0.041	0.017	4	3
4.95	0.044	0.018	4	3
5.25	0.038	0.017	4	3
5.55	0.036	0.016	4	3
5.85	0.031	0.015	4	3
6.15	0.033	0.015	4	3
6.45	0.033	0.015	4	3
6.75	0.036	0.015	4	3
7.05	0.039	0.015	4	3
7.35	0.038	0.015	4	3
7.65	0.04	0.014	4	3
7.95	0.032	0.014	4	3
8.25	0.028	0.013	4	3
8.55	0.027	0.014	4	3
8.85	0.026	0.013	4	3
9.15	0.025	0.014	4	3
9.45	0.03	0.015	4	3
9.75	0.025	0.014	4	3
10.05	0.022	0.014	4	3
10.35	0.025	0.014	4	3
10.65	0.024	0.013	4	3
10.95	0.024	0.012	4	3
11.25	0.025	0.012	4	3
11.55	0.027	0.012	4	3
11.85	0.03	0.012	4	3
12.15	0.027	0.012	4	3
12.45	0.027	0.011	4	3
12.75	0.029	0.011	4	3
13.05	0.03	0.011	4	3
13.35	0.03	0.011	4	3
13.65	0.034	0.011	4	3
13.95	0.036	0.011	4	3
14.25	0.04	0.011	4	3
14.55	0.041	0.011	4	3
14.85	0.038	0.01	4	3
15.15	0.036	0.01	4	3
15.45	0.038	0.01	4	3
15.75	0.042	0.01	4	3
16.05	0.042	0.01	4	3
16.35	0.041	0.01	4	3
16.65	0.044	0.01	4	3
16.95	0.046	0.01	4	3
17.25	0.05	0.01	4	3
17.55	0.054	0.01	4	3
17.85	0.057	0.009	4	3
18.15	0.061	0.009	4	3
18.45	0.061	0.009	4	3
18.75	0.061	0.01	4	3
19.05	0.058	0.009	4	3
19.35	0.058	0.008	4	3
19.65	0.064	0.009	4	3
19.95	0.067	0.009	4	3
20.25	0.069	0.008	4	3
20.55	0.071	0.009	4	3
20.85	0.073	0.008	4	3
21.15	0.07	0.009	4	3
21.45	0.074	0.009	4	3
21.75	0.073	0.009	4	3
22.05	0.071	0.008	4	3
22.35	0.074	0.008	4	3
22.65	0.072	0.008	4	3
22.95	0.074	0.009	4	3
23.25	0.078	0.009	4	3
23.55	0.076	0.008	4	3
23.85	0.074	0.008	4	3
24.15	0.073	0.007	4	3
24.45	0.073	0.007	4	3
24.75	0.079	0.007	4	3
25.05	0.08	0.007	4	3
25.35	0.087	0.007	4	3
25.65	0.09	0.007	4	3
25.95	0.103	0.007	4	3
26.25	0.114	0.006	4	3
26.55	0.127	0.006	4	3
26.85	0.137	0.006	4	3
27.15	0.139	0.005	4	3
27.45	0.137	0.005	4	3
27.75	0.135	0.005	4	3
28.05	0.127	0.004	4	3
28.35	0.124	0.004	4	3
28.65	0.129	0.004	4	3
28.95	0.13	0.004	4	3
29.25	0.131	0.003	4	3
29.55	0.125	0.003	4	3
29.85	0.121	0.003	4	3
30.15	0.114	0.002	3	3
30.45	0.102	0.002	3	3
30.75	0.091	0.002	3	3
31.05	0.083	0.001	3	3
31.35	0.073	0.001	3	3
31.65	0.065	0.001	3	3
31.95	0.054	0.001	3	3
32.25	0.047	0.001	3	3
32.55	0.041	0.001	3	3
32.85	0.036	0.001	3	3
33.15	0.029	0	3	3
33.45	0.027	0	3	3
33.75	0.024	0	3	3
34.05	0.021	0	3	3
34.35	0.018	0	3	3
34.65	0.014	0	3	3
34.95	0.01	0	3	3
35.25	0.007	0	3	3
35.55	0.005	0	3	3
35.85	0.003	0	3	3
36.15	0.002	0	3	3
36.45	0.001	0	3	3
