Pasoh_height	Pasoh_LAI	Pasoh_WAI	leaf_angle	wood_angle
0.15	0	0	3	3
0.45	0.001	0.001	3	3
0.75	0.008	0.004	3	3
1.05	0.027	0.018	3	3
1.35	0.054	0.035	3	3
1.65	0.051	0.037	3	3
1.95	0.046	0.037	3	3
2.25	0.045	0.035	3	3
2.55	0.044	0.033	3	3
2.85	0.046	0.032	3	3
3.15	0.048	0.03	3	3
3.45	0.054	0.028	3	3
3.75	0.055	0.027	3	3
4.05	0.057	0.027	3	3
4.35	0.055	0.026	3	3
4.65	0.055	0.024	3	3
4.95	0.051	0.024	3	3
5.25	0.053	0.024	3	3
5.55	0.051	0.023	3	3
5.85	0.047	0.022	3	3
6.15	0.048	0.021	3	3
6.45	0.049	0.02	3	3
6.75	0.052	0.02	3	3
7.05	0.054	0.02	3	3
7.35	0.051	0.02	3	3
7.65	0.054	0.021	3	3
7.95	0.056	0.021	3	3
8.25	0.056	0.021	3	3
8.55	0.058	0.021	3	3
8.85	0.058	0.02	3	3
9.15	0.059	0.02	3	3
9.45	0.061	0.02	3	3
9.75	0.07	0.022	3	3
10.05	0.071	0.021	3	3
10.35	0.068	0.02	3	3
10.65	0.069	0.02	3	3
10.95	0.072	0.019	3	3
11.25	0.074	0.018	3	3
11.55	0.073	0.017	3	3
11.85	0.076	0.017	3	3
12.15	0.073	0.017	3	3
12.45	0.071	0.017	3	3
12.75	0.072	0.017	3	3
13.05	0.072	0.016	3	3
13.35	0.078	0.015	3	3
13.65	0.079	0.014	3	3
13.95	0.078	0.013	3	3
14.25	0.073	0.012	3	3
14.55	0.069	0.011	3	3
14.85	0.069	0.012	3	3
15.15	0.069	0.011	3	3
15.45	0.068	0.01	3	3
15.75	0.068	0.01	3	3
16.05	0.068	0.009	3	3
16.35	0.064	0.009	3	3
16.65	0.063	0.008	3	3
16.95	0.063	0.007	3	3
17.25	0.065	0.007	3	3
17.55	0.061	0.007	3	3
17.85	0.058	0.007	3	3
18.15	0.056	0.006	3	3
18.45	0.055	0.006	3	3
18.75	0.051	0.006	3	3
19.05	0.049	0.005	3	3
19.35	0.05	0.005	3	3
19.65	0.047	0.005	3	3
19.95	0.044	0.004	3	3
20.25	0.042	0.004	3	3
20.55	0.04	0.004	3	3
20.85	0.039	0.004	3	3
21.15	0.038	0.004	3	3
21.45	0.04	0.004	3	3
21.75	0.039	0.003	3	3
22.05	0.041	0.003	3	3
22.35	0.044	0.003	3	3
22.65	0.044	0.003	3	3
22.95	0.043	0.003	3	3
23.25	0.041	0.003	3	3
23.55	0.04	0.003	3	3
23.85	0.04	0.003	3	3
24.15	0.04	0.003	3	3
24.45	0.038	0.002	3	3
24.75	0.036	0.003	3	3
25.05	0.033	0.002	3	3
25.35	0.033	0.002	3	3
25.65	0.038	0.003	3	3
25.95	0.037	0.003	3	3
26.25	0.036	0.003	3	3
26.55	0.036	0.003	3	3
26.85	0.038	0.003	3	3
27.15	0.041	0.003	3	3
27.45	0.043	0.003	3	3
27.75	0.045	0.003	3	3
28.05	0.041	0.003	3	3
28.35	0.039	0.003	3	3
28.65	0.039	0.003	3	3
28.95	0.036	0.002	3	3
29.25	0.036	0.002	3	3
29.55	0.034	0.002	3	3
29.85	0.031	0.002	3	3
30.15	0.033	0.002	3	3
30.45	0.031	0.003	3	3
30.75	0.032	0.003	3	3
31.05	0.037	0.003	3	3
31.35	0.037	0.003	3	3
31.65	0.035	0.003	3	3
31.95	0.036	0.003	3	3
32.25	0.038	0.003	3	3
32.55	0.039	0.003	3	3
32.85	0.039	0.003	3	3
33.15	0.043	0.004	3	3
33.45	0.042	0.004	3	3
33.75	0.045	0.004	3	3
34.05	0.047	0.004	3	3
34.35	0.046	0.004	3	3
34.65	0.045	0.005	3	3
34.95	0.043	0.004	3	3
35.25	0.047	0.004	3	3
35.55	0.047	0.004	3	3
35.85	0.044	0.004	3	3
36.15	0.041	0.004	3	3
36.45	0.038	0.004	3	3
36.75	0.035	0.004	3	3
37.05	0.035	0.004	3	3
37.35	0.036	0.003	3	3
37.65	0.038	0.003	3	3
37.95	0.038	0.003	3	3
38.25	0.036	0.003	3	3
38.55	0.028	0.003	3	3
38.85	0.026	0.003	3	3
39.15	0.029	0.003	3	3
39.45	0.029	0.003	3	3
39.75	0.028	0.002	3	3
40.05	0.027	0.002	3	3
40.35	0.025	0.002	3	3
40.65	0.023	0.002	3	3
40.95	0.021	0.002	3	3
41.25	0.021	0.002	3	3
41.55	0.019	0.002	3	3
41.85	0.019	0.001	3	3
42.15	0.018	0.001	3	3
42.45	0.017	0.001	3	3
42.75	0.019	0.001	3	3
43.05	0.014	0.001	3	3
43.35	0.013	0.001	3	3
43.65	0.011	0.001	3	3
43.95	0.009	0.001	3	3
44.25	0.007	0.001	3	3
44.55	0.005	0.001	3	3
44.85	0.005	0.001	3	3
45.15	0.006	0.001	3	3
45.45	0.005	0.001	3	3
45.75	0.006	0.001	3	3
46.05	0.005	0.001	3	3
46.35	0.005	0.001	3	3
46.65	0.005	0.001	3	3
46.95	0.004	0.001	3	3
47.25	0.005	0	3	3
47.55	0.005	0	3	3
47.85	0.006	0	3	3
48.15	0.006	0	3	3
48.45	0.005	0	3	3
48.75	0.004	0	3	3
49.05	0.002	0	3	3
49.35	0.002	0	3	3
49.65	0.001	0	3	3
