SERC_height	SERC_LAI	SERC_WAI	leaf_angle	wood_angle
0.15	0	0	4	3
0.45	0	0	4	3
0.75	0	0	4	3
1.05	0.001	0	4	3
1.35	0.027	0.019	4	3
1.65	0.029	0.023	4	3
1.95	0.028	0.022	4	3
2.25	0.027	0.022	4	3
2.55	0.029	0.022	4	3
2.85	0.033	0.022	4	3
3.15	0.037	0.021	4	3
3.45	0.04	0.02	4	3
3.75	0.041	0.019	4	3
4.05	0.042	0.019	4	3
4.35	0.043	0.018	4	3
4.65	0.045	0.017	4	3
4.95	0.049	0.017	4	3
5.25	0.047	0.017	4	3
5.55	0.046	0.016	4	3
5.85	0.046	0.015	4	3
6.15	0.05	0.016	4	3
6.45	0.05	0.016	4	3
6.75	0.048	0.016	4	3
7.05	0.053	0.016	4	3
7.35	0.055	0.017	4	3
7.65	0.051	0.016	4	3
7.95	0.054	0.016	4	3
8.25	0.046	0.015	4	3
8.55	0.047	0.015	4	3
8.85	0.048	0.015	4	3
9.15	0.05	0.014	4	3
9.45	0.05	0.015	4	3
9.75	0.047	0.013	4	3
10.05	0.053	0.013	4	3
10.35	0.051	0.013	4	3
10.65	0.05	0.012	4	3
10.95	0.047	0.012	4	3
11.25	0.043	0.011	4	3
11.55	0.047	0.011	4	3
11.85	0.048	0.011	4	3
12.15	0.05	0.011	4	3
12.45	0.05	0.01	4	3
12.75	0.051	0.011	4	3
13.05	0.052	0.01	4	3
13.35	0.05	0.01	4	3
13.65	0.049	0.01	4	3
13.95	0.05	0.009	4	3
14.25	0.05	0.009	4	3
14.55	0.047	0.009	4	3
14.85	0.048	0.008	4	3
15.15	0.049	0.008	4	3
15.45	0.05	0.008	4	3
15.75	0.05	0.008	4	3
16.05	0.049	0.008	4	3
16.35	0.05	0.008	4	3
16.65	0.053	0.008	4	3
16.95	0.051	0.007	4	3
17.25	0.05	0.007	4	3
17.55	0.054	0.007	4	3
17.85	0.051	0.007	4	3
18.15	0.054	0.008	4	3
18.45	0.054	0.007	4	3
18.75	0.05	0.007	4	3
19.05	0.052	0.006	4	3
19.35	0.049	0.006	4	3
19.65	0.043	0.006	4	3
19.95	0.042	0.006	4	3
20.25	0.041	0.005	4	3
20.55	0.042	0.005	4	3
20.85	0.04	0.005	4	3
21.15	0.039	0.005	4	3
21.45	0.042	0.005	4	3
21.75	0.046	0.006	4	3
22.05	0.046	0.005	4	3
22.35	0.048	0.006	4	3
22.65	0.042	0.005	4	3
22.95	0.041	0.005	4	3
23.25	0.038	0.005	4	3
23.55	0.041	0.004	4	3
23.85	0.039	0.004	4	3
24.15	0.04	0.004	4	3
24.45	0.041	0.004	4	3
24.75	0.04	0.004	4	3
25.05	0.041	0.004	4	3
25.35	0.04	0.004	4	3
25.65	0.041	0.004	4	3
25.95	0.04	0.004	4	3
26.25	0.04	0.004	4	3
26.55	0.044	0.004	4	3
26.85	0.048	0.004	4	3
27.15	0.049	0.004	4	3
27.45	0.05	0.004	4	3
27.75	0.052	0.004	4	3
28.05	0.055	0.004	4	3
28.35	0.054	0.003	4	3
28.65	0.052	0.003	4	3
28.95	0.053	0.003	4	3
29.25	0.062	0.003	4	3
29.55	0.065	0.003	4	3
29.85	0.07	0.003	4	3
30.15	0.092	0.003	1	3
30.45	0.096	0.003	1	3
30.75	0.095	0.003	1	3
31.05	0.094	0.003	1	3
31.35	0.091	0.003	1	3
31.65	0.089	0.002	1	3
31.95	0.082	0.002	1	3
32.25	0.078	0.002	1	3
32.55	0.079	0.002	1	3
32.85	0.077	0.002	1	3
33.15	0.076	0.002	1	3
33.45	0.065	0.002	1	3
33.75	0.062	0.002	1	3
34.05	0.06	0.002	1	3
34.35	0.056	0.001	1	3
34.65	0.053	0.001	1	3
34.95	0.048	0.001	1	3
35.25	0.046	0.001	1	3
35.55	0.045	0.001	1	3
35.85	0.04	0.001	1	3
36.15	0.038	0.001	1	3
36.45	0.035	0.001	1	3
36.75	0.035	0.001	1	3
37.05	0.032	0.001	1	3
37.35	0.027	0.001	1	3
37.65	0.022	0	1	3
37.95	0.017	0	1	3
38.25	0.015	0	1	3
38.55	0.012	0	1	3
38.85	0.01	0	1	3
39.15	0.009	0	1	3
39.45	0.007	0	1	3
39.75	0.006	0	1	3
40.05	0.005	0	1	3
40.35	0.004	0	1	3
40.65	0.003	0	1	3
40.95	0.002	0	1	3
41.25	0.002	0	1	3
41.55	0.001	0	1	3
41.85	0.001	0	1	3
42.15	0.001	0	1	3
